Number of Cell,Center Position(X-Y),Area
Image #0
129,7-36,21.5
130,194-76,15.5
131,194-76,14.0
Image #3
0,187-165,494.5
1,187-165,483.5
2,58-60,293.0
3,58-60,279.0
4,114-221,212.0
5,114-221,204.0
6,22-91,197.0
7,22-91,187.5
8,23-66,185.5
9,23-66,178.5
10,187-216,171.5
11,187-216,167.5
12,131-64,140.0
13,131-64,130.0
14,213-192,127.5
15,213-192,126.5
16,233-67,114.0
17,229-234,112.5
18,212-158,112.5
19,233-67,110.0
20,245-228,109.0
21,229-234,106.5
22,237-188,106.0
23,212-158,105.5
24,85-57,103.0
25,246-228,102.0
26,237-188,100.0
27,45-29,99.5
28,106-60,97.0
29,45-29,94.5
30,85-57,93.0
31,106-59,91.0
32,36-96,82.0
33,22-20,81.0
34,124-93,78.5
35,247-68,77.0
36,36-96,74.0
37,125-93,73.5
38,22-20,72.5
39,247-68,71.0
40,39-59,62.5
41,37-217,61.0
42,248-41,59.0
43,38-217,58.0
44,39-59,56.5
45,242-14,56.5
46,188-23,55.0
47,248-41,54.0
48,21-45,53.5
49,203-211,52.5
50,144-76,51.0
51,242-14,50.5
52,203-211,48.5
53,248-177,48.5
54,21-45,48.5
55,188-24,48.0
56,108-119,47.5
57,144-76,47.5
58,163-55,46.5
59,248-177,45.5
60,56-8,43.0
61,108-119,42.5
62,163-55,42.5
63,189-44,42.0
64,56-8,41.5
65,189-44,39.5
Image #4
0,116-81,250.5
1,235-166,239.0
2,116-81,234.5
3,235-166,231.5
4,93-100,229.0
5,93-100,208.5
6,50-111,180.0
7,50-111,168.0
8,42-21,138.5
9,42-21,135.0
10,140-44,126.0
11,37-216,121.5
12,245-134,118.0
13,37-216,116.5
14,140-44,111.0
15,15-20,109.0
16,245-134,107.0
17,65-84,103.0
18,24-183,101.0
19,109-12,100.0
20,15-20,96.0
21,24-183,95.5
22,10-158,95.5
23,65-84,95.0
24,43-57,92.5
25,109-12,90.0
26,185-47,89.0
27,43-57,87.5
28,49-238,87.0
29,9-158,86.5
30,145-99,82.5
31,48-177,81.5
32,49-238,81.0
33,76-38,79.5
34,185-47,78.0
35,12-240,74.5
36,48-177,74.5
37,145-99,74.5
38,83-59,73.5
39,76-38,73.5
40,12-240,68.5
41,229-125,68.5
42,51-38,67.5
43,14-129,66.0
44,83-59,64.5
45,229-125,64.0
46,242-37,64.0
47,13-206,61.5
48,51-38,61.5
49,15-129,59.0
50,242-37,59.0
51,13-206,56.0
52,184-68,55.0
53,216-11,52.5
54,184-68,49.5
55,235-81,48.0
56,216-11,47.5
57,213-77,45.0
58,18-111,44.0
59,235-81,44.0
60,132-91,42.0
61,213-77,41.0
62,126-31,41.0
63,161-41,40.5
64,27-243,40.0
65,18-111,39.0
66,132-91,38.5
67,151-20,38.5
68,27-243,38.0
69,8-47,38.0
70,126-31,37.0
71,161-41,35.5
72,151-20,35.5
73,8-47,34.5
74,107-46,34.5
75,225-221,33.5
76,12-59,33.0
77,107-46,30.5
78,12-59,29.0
79,225-221,28.5
80,129-8,26.0
81,129-8,23.5
82,6-79,17.0
83,6-78,14.5
